官名:ID,简介,:LABEL
都指挥使司,属于行省三司之一，明朝地方最高军事领导机构，在地方设置的军事机构，正三品。,官职
粮储户部分司,是户部的专事派出机构，设在密云县、蓟州和永平府。,官职
主事,明代于各部司官中置主事，官阶从七品升为从六品，为各部司官中最低的一级。,官职
通判,掌管粮运、家田、水利和诉讼等事项，对州府的长官有监察的责任。,官职
兵备按察分司,职责是“地方凡兵马、粮饷、关隘、要害俱随意处置”,官职
驿使,传递公文、书信的人,官职
镇朔将军,明朝宣府总兵挂印则称镇朔将军。五品,官职
公爵,五等爵的第一等，但自唐以降，外姓封爵没有实际封地。,官职
候爵,侯爵为“超品”，即为超过一品之意。只授予皇亲国戚与极少数功臣。,官职
伯爵,伯爵是中国古代封建制度五等爵的第三等。,官职
子爵,五等爵的第四等。,官职
男爵,五等爵的第五等。明朝不设男爵。,官职
同知,同知为知府的副职，正五品，负责分掌地方盐、粮、捕盗、江防、海疆、河工、水利以及清理军籍、抚绥民夷等事务。,官职
大学士,辅助皇帝的高级秘书官，主要职责包括票拟批答、上传下达等，明代为正五品,官职
右少卿,佐寺卿掌驳正狱案及重囚复讯工作。明朝大理寺置，正四品。,官职
侍郎,正三品。明朝在中央设置吏、户、礼、工、刑、兵六部副长官。,官职
丞相,辅佐皇帝总理百政的官员，即百官之长。直至朱元璋废丞相。,官职
知州,明清以知州为正式官名，为各州行政长官。,官职
都指挥佥书,都指挥使属官，秩正三品，分管司内练兵、屯田事务。,官职
副都御史,为都察院左右都御史的副职，亦分左右，正三品。,官职
左少监,"明初内府神宫监、尚宝监、内官监等以监为名的宦官衙门皆置,从四品,佐太监掌本监事。",官职
参议,中书省参议府有参议官。,官职
六部郎中,分掌各司事务，其职位仅次于丞相、尚书、侍郎的高级官员。负责对应省份的相关司法事务,官职
镇守太监,明洪熙元年（1425）设立的职位，以宦官总镇一方始此。,官职
少监,"为监或正监的副手,分掌皇帝日常生活事务.",官职
监丞,国子监为清朝最高学府，而监丞为该机构掌管校规的官员。,官职
奉御,明内官诸监有奉御，但位于令、丞之下，地位远较隋、唐为低。,官职
内使,传达皇帝诏令的内监。,官职
长史,明清时代的长史设于亲王、公主等府中，执管府中之政令。,官职
国子监祭酒,掌国学诸生训导的政令。,官职
参政,宰相之副。,官职
塞王,明朝在尊王攘夷思想下制定的镇守边塞扩土开疆的藩王。,官职
大理寺卿,掌邦国折狱详刑之事，位九卿之列。,官职
布政使,主管一省之行政和财赋之出纳，可通过特旨除授、廷臣推荐、吏部开列具题等方式选任。,官职
尚衣监,掌皇帝所用冠冕、袍服及履舄、靴袜。,官职
督师,明朝时期除皇帝外最大的地方官员，掌有较大的兵权。,官职
巡关御史,监察御史奉命外出巡视关防者，即为巡关御史。,官职
枢辅,中央掌军权的大臣。,官职
太守,秦朝至汉朝时期对郡守的尊称。,官职
制府,制置司衙门，掌军务。,官职
经略,明清两代有重要军事任务时特设经略，掌管一路或数路军、政事务，职位高于总督,官职
佥都御史,明朝都察院置，分左、右，正四品。,官职
给事中,明朝置给事中，掌侍从、谏诤、补阙、拾遗、审核、封驳诏旨，驳正百司所上奏章，监察六部诸司，弹劾百官，与御史互为补充，五品，六品等。,官职
兵部尚书,六部尚书的其中之一，统管全国军事的行政长官，明代正二品，清代从一品。,官职
指挥佥事,秩正四品，明代京卫指挥使司所辖，协理禁中警卫部队。,官职
都御史,明朝都察院的长官为左右都御史（正二品），下设副都御史、佥都御史。清朝时都御史为从一品。,官职
知县,知县主要掌管一县政治、经济、军事、诉讼等，可通过科举等选官途径选用，清代理论上的任期为三年，升迁主要是知州、知府、主事和同知等。,官职
通州参将,明朝初期设镇守重臣，驻扎通州，后改为分守。嘉靖三十年复改为参将，操练军马。万历三年题准，总练班军，仍听调遣。,蓟镇参将
山海路参将,正德八年设守备一员，嘉靖二十八年增设游击一员，三十年改驻石门路，三十九年复设游击，隆庆三年革除守备，改游击为参将，分守山海地方。,蓟镇参将
石门路参将,嘉靖三十五年设参将一员，分守一片石、大毛山、义院口三提调地方。,蓟镇参将
燕河路参将,正统年设参将一员，分守冷口、桃林、青山、界岭口四提调地方，隆庆二年革除青山、界岭口，只辖桃林、冷口二处。,蓟镇参将
太平路参将,正德十年设参将一员，分守辖喜峰一守备，擦崖、榆木、董家口三提调，万历二年，裁革喜峰、董家口二处。,蓟镇参将
喜峰口参将,原设守备稽考进贡夷人，万历二年改设参将一员，分守喜峰、董家口二提调地方。,蓟镇参将
马兰路参将,正统十四年设参将一员，分守大安、黄崖、宽佃、将军营四提调地方。 ,蓟镇参将
墙子路参将,嘉靖三十年设参将一员，分守墙子岭、吉家庄、镇虏营三提调地方。,蓟镇参将
古北路参将,永乐初设守备，正统时期改设提督把总，以都指挥充任，正德初期复设守备，嘉靖三十年增设参将一员，分守古北口、潮河川二提调地方。,蓟镇参将
石塘路参将,嘉靖三十年设参将一员，分守石塘岭、白马关二提调。,蓟镇参将
密云左营游击,嘉靖三十七年设游击一员，或加副总兵参将衔，统领督府标下骑兵，专佚应援墙子、古北二路地方，万历四年改驻石匣营，专练车兵，仍听调遣，本营兵马协守统领。,蓟镇游击将军
密云右营游击,嘉靖四十二年设游击一员，或加副总兵参将衔，统领督府标兵，专佚应援墙子、古北二路地方。,蓟镇游击将军
密云振武营游击,天顺六年设，初为镇守都指挥，成化二十一年改分守参将，正德二年改镇守参将，十一年改镇守副总兵，嘉靖元年复改分守参将，十八年又改镇守副总兵，三十年改协守，三十三年改分守，四十二年改为游击，或加副总兵参将衔，专佚应援墙子路地方。,蓟镇游击将军
密云辎重营游击,隆庆六年设游击一员，统领督府辎重兵马，转运军饷兼应援曹家路地方。,蓟镇游击将军
镇虏营游击,设游击一员，驻扎墙子路地方，防守本路，仍听调遣。,蓟镇游击将军
遵化左营游击,嘉靖四十二年设游击一员，统领抚院标兵，专佚应援马兰路地方。,蓟镇游击将军
遵化右营游击,嘉靖三十八年设游击一员，统领抚院标兵，专佚应援马兰路地方。,蓟镇游击将军
遵化辎重营游击,隆庆六年设游击一员，统领抚院辎重军马，转运军饷兼应援马兰路地方。,蓟镇游击将军
三屯营左营游击,嘉靖四十三年设游击一员，统三屯游兵，隆庆三年改为总镇标兵，专佚应援喜峰路地方。,蓟镇游击将军
三屯右营游击,隆庆三年设游击一员，统领总镇标兵，专佚应援松棚路地方，万历四年改为协守副总兵，驻扎三屯营。,蓟镇游击将军
三屯营辎重营游击,隆庆六年设都司一员充任，或用游击，统领车兵专运军饷兼应援松棚路地方。,蓟镇游击将军
保河车营游击,嘉靖二十九年设游击一员，统领保河民兵车营，驻扎三屯，惟兵马春秋两班入卫，专佚应援松棚、太平二路地方。,蓟镇游击将军
台头路游击,隆庆二年设游击一员，分守青山、界岭口二提调地方。,蓟镇游击将军
曹家路游击,嘉靖三十年设游击一员，三十一年改游兵，隆庆二年复分守曹家寨一提调地方。,蓟镇游击将军
松棚路游击,隆庆二年设游击一员，分守龙井、洪山、罗文谷三提调地方。,蓟镇游击将军
密云永胜营坐营,隆庆四年设坐营一员，以都指挥体统行事，统领督府标兵，专佚应援。,官职
漕运把总,万历二年设把总一员，以都指挥体统行事，管理漕运粮食事务。,官职
密云守备,嘉靖四十一年设。,蓟镇守备
三河守备,弘治十八年设。,蓟镇守备
蓟州守备,天顺时期设。,蓟镇守备
遵化守备,成化六年设。,蓟镇守备
三屯守备,隆庆三年设。,蓟镇守备
永平守备,弘治十一年设。,蓟镇守备
黄崖口守备,嘉靖四十一年设。,蓟镇提调
大毛山提调,嘉靖四十年设。,蓟镇提调
义院口提调,嘉靖十九年设。,蓟镇提调
冷口提调,嘉靖十九年设。,蓟镇提调
桃林口提调,弘治八年设。,蓟镇提调
青山口提调,嘉靖十九年设。,蓟镇提调
界岭口提调,嘉靖十九年设。,蓟镇提调
擦崖子提调,弘治五年设。,蓟镇提调
榆木岭提调,嘉靖十八年设。,蓟镇提调
李家口提调,原设把总一员，提督大喜峰口地方，嘉靖二十年改为守备，万历二年添设参将，革除守备，万历四年设提调，驻李家口。,蓟镇提调
董家口提调,弘治三年设。,蓟镇提调
龙井儿提调,不详,蓟镇提调
洪山口提调,洪武时期设。,蓟镇提调
罗文谷提调,永乐时期设。,蓟镇提调
大安口提调,永乐时期设。,蓟镇提调
宽佃谷提调,永乐时期设。,蓟镇提调
黄崖口提调,永乐时期设。,蓟镇提调
将军营提调,永乐时期设。,蓟镇提调
镇虏营提调,嘉靖十九年设。,蓟镇提调
墙子岭提调,嘉靖十六年设。,蓟镇提调
曹家寨提调,嘉靖十五年设。,蓟镇提调
吉家庄提调,万历元年设。,蓟镇提调
古北口提调,弘治七年设。,蓟镇提调
潮河川提调,弘治七年设。,蓟镇提调
白马关提调,嘉靖十六年设。,蓟镇提调
石塘岭提调,嘉靖十六年设。,蓟镇提调
