景区名:ID,景区级别及评定时间,地理位置,著名景点,景区简介,长度（或敌台数）,管理单位,:LABEL
黄松峪长城,,平谷黄松峪村,湖洞水、千佛崖、天云山、百帝宫、明长城遗址,作为明清时期长城线上的重要关口，古村依长城而建，东南西三面均建有石城墙，城南建有门楼，由青砖砌筑而成，甚是雄伟。,4500米，敌台4座,林业部门,景区
红石门长城,,北京市平谷区,,国务院1996年所立的天津界、河北界、北京界三界碑位于红石门长城的第一座敌台上，红石门长城段更是因为三省交界的特殊地理位置被市政府列为修缮与利用的重点。,,,景区
将军关长城,,北京市平谷区靠山集乡将军关村,,将军关又名将军石关，位于平谷县靠山集乡将军关村，是万里长城北京段最东端的一个关口。将军关建于明代，正关上有3层敌楼，内墙有券门可出入，门南为演武场，正关东侧是水关。现存水关东侧一座敌楼台基和一段城垣。城内有一柱形巨石，高10米有余，称“将军石”。将军关，位于金海湖镇将军关村内，西邻胡陡路，是明代长城进入北京东侧的第一座重要关口，也是目前平谷区保存状况最好的关城。其东与天津蓟县接壤，北与河北兴隆毗邻。将军关关城建于明永乐年间（1403-1424），历史上为咽喉要塞，是兵家必争之地。将军关大部分建筑已毁，现仅存关城东侧敌台遗址，关城两侧连接的长城是平谷区唯一一处以砖作为墙体建筑材料的长城段。,,,景区
四座楼风景区,区级文物保护单位,于平谷区熊儿寨乡,鸡冠崖、百灵沟、登基晚、漫石沟、按吻峰、子母石等,因山顶上有四座明代长城敌楼(现尚存两座)而得名。,,,景区
司马台长城,4A、2005年,北京市密云区北部的古北口镇司马台村北,望京楼、鸳鸯湖、猫眼楼、仙女楼,司马台长城位于北京市东北部密云区北部的古北口镇司马台村北，紧邻古北水镇，距离北京120公里，属燕山山脉，司马台长城依险峻山势而筑，并以险、密、齐、巧、全五大特点著称于世。司马台长城东起望京楼，西至后川口，全长5.7公里，其中鸳鸯湖水库将该长城分为东西两段。东段有敌楼16座，西段有敌楼19座，共计35座（包括已毁水中一座）。1987年司马台长城被列入世界遗产名录，是我国唯一保留明代原貌的古建筑遗址，被联合国教科文组织确定为“原始长城”。,5400米，敌台30座，烽火台2座,司马台雾灵山国际休闲度假区管理委员会,景区
蟠龙山长城,,北京市密云区古北口镇口北口村,七郎坟、令公庙、琉璃影壁靠大道、一步三眼井、两步三座庙,蟠龙山长城风景区位于具有燕京门户之称的密云古北口镇，建于1680年的古御道镇域内长城由卧虎山长城、蟠龙山长城、司马台长城组成。,5200米，敌台19座,村镇,景区
古北口长城,,北京市密云区古北口镇古北口村,二十四眼楼，将军楼，水楼水关遗迹等,古北口长城是中国长城史上最完整的长城体系。由北齐长城和明长城共同组成，包括卧虎山、蟠龙山、金山岭和司马台4个城段。古北口是山海关、居庸关两关之间的长城要塞，为辽东平原和内蒙古通往中原地区的咽喉，历来是兵家必争之地，尤其是在辽、金、元、明、清这五朝，大大小小争夺古北口的战役从未停止过，因此长城的作用突显得尤为重要。,6612米,景区管委会（政府）,景区
卧虎山长城景区,,北京市密云古北口镇潮河西岸河西村,姐妹楼、扁形楼、圆形楼、半边楼、双垛口和“刀把楼”,卧虎山长城，位于北京市密云区古北口镇，始建于明朝洪武八年，全长4.75km，有敌楼134座，海拔665.22m，山势陡峭，故此尤显雄伟壮观。卧虎山山顶视野较司马台长城开阔，北有群山环抱，南有河流平川，东西长城起伏连绵，自成一色。,2330米，敌台16座,村镇,景区
云蒙山长城遗址公园,,北京市密云区石城镇王庄村,三道边楼、将军楼、四方楼等三座敌台及圆形烽火台，今又得称四座楼山。,云蒙山长城遗址公园距北京市区90余公里，东沿密云水库，西临云蒙山脉。公园地处云蒙山东缘，山形韶秀天成，宛延起伏，构思精巧，群峰突起，常隐于云雾之中，素有"北国黄山"之美誉。,2540米，敌台3座，烽火台1座,景区管委会（政府）,景区
五座楼森林公园,,北京市密云区密关路,,五座楼森林公园属于云蒙山系的东端，北接黑龙潭，距市区85公里，是密云水库环湖西路旅游线上的第一站。,,林业部门,景区
白岭关长城风景区,,北京市密云区新城子乡头道沟村,情人石、百兽山、熊吼石、白龙戏水、鳄鱼石、海豚石,分布在海拔916米高的燕山山脉上。驻足白岭关上，北望可一览广阔的北国风光；东眺可见著名的“京东第一峰”雾灵山及南侧群峰，西临司马台长城。景区内景点密而不挤，疏而不散。,2500米,村镇,景区
白道峪风景旅游区,,北京密云县西田各庄,北方大溶洞景观区、古代兵营区、错长城烽火演示区,白道峪风景旅游区位于北京密云县西田各庄镇白道峪村，三面环山，东临密云水库，南接平原，西连三峪风景区，北靠云蒙山系。距北京东直门75公里，车程为1-1.5小时，距密云县城车程为12分钟。,,村镇,景区
桃源仙谷风景名胜区,4A、2004年,北京市密云县石城镇境内,桃源仙湖、一湖六瀑十三潭,北京市桃源仙谷风景名胜区是国家AAA级景区，是生态旅游风景区，距北京90公里，东起密云水库西岸，西至观峰台顶巅，全长8公里，总面积16平方公里，景区峡谷森林茂密，潭瀑众多，山峰雄伟，环境洁美，特别是一湖六瀑十三潭，冬天冰雪有奇观，天画八峰神仙界，远望云海碧水天等80余处景观镶嵌其中，构成了世外桃源的一幅天然风景画廊。,明长城穿过其间，敌楼甚多,景区管委会（政府）,景区
天云山风景区,,北京市平谷区黄松峪乡黄土梁,真露寺、娘娘庙、天和宫,天云山风景区距北京东直门140公里。天云山主峰海拔1149米，如若驻足主峰，似头顶蓝天、手托白云，举目远眺可一览群峰：东望可观雾灵六月雪，西可望敌楼云中耸立，雄壮的古长城蜿蜒于东西侧的群山峻岭之上。点将楼的双道长城自西侧向东延伸约2500米，合围成瓮城，城内白桦成林，青松如荫，花草芬芳，百鸟争鸣，宛若平铺在高山之巅上的一幅美丽的画卷，是一处难得的天然公园。天云山风景区是平铺在高山之巅上的一幅美丽的画卷，寓雄险、奇特、幽静、清凉于一处，给人以美的享受。神鹿石”、“鸳鸯石”、“石猴迎宾”。,点将楼双道长城自西侧向东延伸约2500米，合围成瓮城,,景区
慕田峪长城,5A、2011年,北京市怀柔区渤海镇慕田峪村,中华梦石城、大角楼、正关台,慕田峪长城位于北京市怀柔区境内，距北京城区73公里。其历史悠久，文化灿烂，在中外享有“万里长城，慕田峪独秀”的美誉。景区内山峦叠嶂，植被覆盖率达90%以上。长城全长5400米，是中国最长的长城。,2250米,景区管委会（政府）,景区
青龙峡景区,4A、2005年,北京市怀柔区怀北镇大水峪村北500米,青龙峡滑雪场,青龙峡，位于北京市怀柔区城北20公里处，距北京三元桥75公里，是集青山、绿水、古长城于一体的自然风景区。景区占地面积150公顷，南北狭长约十余华里，雄伟的水库大坝将景区分为两个部分。青龙峡，南邻风光旖旎的雁栖湖，是集田园风光、山川秀色、青山绿谷、长城古貌为一体的旅游观光、度假休闲胜地。独特的塞外气候，凉爽宜人，是人们远离闹市喧哗，寻觅山水静地，回归山野自然，旅游观光度假的最佳选择。青龙峡风景区由万里长城登城游览、苍龙峡观飞龙瀑和青龙峡水上游乐三大景区组成。,大水峪关,林业部门,景区
黄花城水长城,4A、2014年,北京市怀柔区九渡河镇境内,明长城，灏明湖，水中长城,是以奇而著称，融山川、碧水、古长城为一体的旅游休闲胜地。而这里的“三绝景”更是引人入胜，叹为观止。,1870米,北京黄花城长城旅游开发有限责任公司,景区
神堂峪长城,,北京市怀柔城北范各庄乡境内神堂峪村北,济公神冠、一石三景、骆驼峰、卧象堂、仙女洞、镇山神龟、鸳鸯池、圣人颂经、天书石、凤凰岭、神堂第一瀑、女娲屋,为明代长城的边关要塞之一，是石塘路长城的重镇亓连关以东的第二个关口，东连司马台，西接慕田峪长城，长7公里，有保存较好的敌楼30余座。其中长40米、宽30米、高20米的水中敌楼，坐落在神堂峪关的水中，望京楼、烽火楼雄居两山。古屯兵城堡，是戍边将士驻扎之地，为一方型小城，长宽各28米、高8米，占地6400平方米，周围尚存将士们舂米用的石臼。该地出土的“神堂峪关”石碑、匾额及三门铜炮等物在原地展出。,,北京神堂峪政通旅游开发有限公司,景区
摩崖石刻自然风景区,,北京市怀柔(县城西北20公里)沙峪乡北沟村北山沟内北沟村与庄户村交界处,金辟石林、观溪亭、一泻千里、雄鹰伟立、龟哮长天、冰窟及清凉古洞、钟乳洞等,摩崖石刻景区占地面积7500亩，植被覆盖率达90%，景区内有明代兵站要塞和古长城遗址，相传明代之初，因勘察有误，一段长城修到这里截然而止，从而成为北京有名的“错长城”，俗称“耷拉边”。,,北京王者企业管理咨询有限公司,景区
鳞龙山自然风景区,,北京市怀柔区九渡河镇二道关村北,将军峰、神符崖、狮头瀑,北京鳞龙山自然风景区位于北京市怀柔区九渡河镇二道关村北，以峰林地貌为特点，集齐峰怪石、雄崖峭壁、交山峡谷、瀑布、山泉、溪流为一体的自然风景区。鳞龙山景区交通方便。有三条路可通往北京，距亚运村66公里、距十三陵、幕田峪20公里、距怀柔38公里。,,村镇,景区
箭扣长城,,北京市怀柔区雁栖镇西栅子村,牛犄角边、南大楼、鬼门关、东西缩脖楼、东西油篓顶，箭扣梁、将军守关、天梯、鹰飞倒仰,箭扣长城位于京郊怀柔区西北的八道河乡境内，海拔1141米，距怀柔县城约30公里，山势非常富于变化，险峰断崖之上的长城也显得更加雄奇险要。箭扣长城因整段长城蜿蜒呈英文字母“W”状，形如满弓扣箭而得名。箭扣长城是明代万里长城最著名的险段之一，是近年来各种长城画册中上镜率最高的一段，向来是长城摄影的热点。,2809米,,景区
响水湖长城风景区,3A,北京市怀柔慕田峪长城西部,响水湖长城、养生大峡谷,响水湖长城旅游风景区位于怀柔慕田峪长城西部，距县城28公里，总面积18平方公里，天然锦绣，集长城、古洞、山川、泉潭、飞瀑于一体，空气与山泉水质经测验均属于一级标准，是京郊又一处得天独厚、秀丽多姿的旅游圣地。响水湖并不是因为有一片很大的水域得名，而是在泉水的源头，泉涌如注，千米之外便可听到听湖水的响声，系怀柔第一大泉，故此得名“响水湖”。,,景区管委会（政府）,景区
河防口长城,,北京市怀柔区怀北镇河防口村,夹扁楼,河防口长城，坐落于北京市怀柔区怀北镇河防口村北。据史料记载，此段长城是明代在北齐长城基础上修建，关隘设计严谨，敌台密集，工艺精细。该关所在地，自古就为兵家所注目，明穆宗时曾派河间三卫官军戍守。2012年11月，河防口长城修缮工程全线竣工，该工程是北京市历史上一次性单体修缮规模最大、投资最多的长城修缮工程。,,,景区
八达岭残长城自然风景区,2A、2001年,北京市延庆区八达岭镇东沟村,闯王破关处；石料厂；古砖窑遗址,八达岭古长城景区位于八达岭长城景区西南5公里，是八达岭长城的西大门。古长城旧称“残长城”，是八达岭长城的西南延伸段。由于没有经历过大规模的翻新修复，仍保持着古老的形态，伴有残缺的痕迹。为国家AA级旅游景区。,1245米，开放的仅100米左右,景区管委会（政府）,景区
八达岭水关长城,4A、2001年,北京市延庆县八达岭镇石佛寺西侧,弹琴峡、金鱼池、石佛寺、骆驼石,八达岭水关长城位于北京市西北40公里，此段长城是八达岭长城东段，是明长城的遗址，由抗倭名将戚继光督建，距今有四百余年历史，因修建中国第一条自主设计的京张铁路而截断，水关长城建于险谷口，自水门箭楼长城呈“V”字型，顺应山势而行，如巨龙似鲲鹏展翅欲飞，箭楼即是敌楼同时兼具水门功效，此种建筑方式在沿线长城中极为罕见，故名八达岭水关长城。,全长6800米,景区管委会（政府）,景区
八达岭长城,5A、2007年,北京市延庆区八达岭镇东沟村,望京石、弹琴峡、岔道城等,是中国古代伟大的防御工程万里长城的重要组成部分，是明长城的一个隘口。八达岭长城为居庸关的重要前哨，古称“居庸之险不在关而在八达岭”。,3741米，敌台21座,景区管委会（政府）,景区
石峡关残长城,,北京市八达岭长城景区西南5公里处,杏花坡、荆花谷,石峡关长城又称残长城，位于八达岭长城景区西南5公里处，这里崇山峻岭、深沟险隘，长城城关相连，墩堡相望，保存原始，满是断壁残垣。已开发的残长城景区有2平方公里，这个范围内约有2000米残长城，现开放的仅100米左右。,2000米,村镇,景区
九眼楼长城景区,,北京市延庆区四海镇东南公里的火焰山主峰,九眼楼,九眼楼自然风景区位于四海镇东南9公里的火焰山主峰之上，为万里长城之上建筑规模最大、规格最高的敌楼。现已开发为“九眼楼长城自然风景区”对游人开放。景区山高谷深，面积阔大，植被丰茂，环境幽静，风光壮丽。,4470米，规模最大、规格最高敌楼,村镇,景区
百里山水画廊,4A、2010年,北京市延庆区东北部千家店镇中国延庆世界地质公园千家店园区内,山水画廊,景区包括一环三区十二个空间节点，有淮北山水之美，黄山之松，兔耳岭之草甸，苏州之美观。涉及滨河环线112华里，“百里山水画廊”因此得名。,,,景区
北京结点山,,延庆区八达岭镇西南石峡村东,,长城北京结点山，又称清水顶结点，是明代长城的一个结点山，北京地区长城在西部的重要连结点，它在延庆西拨子南8公里。具体长城结点位于清水顶主峰（海拔1239米）北侧约200米的山峰处。,,,景区
龙泉峪长城,,北京市大庄科乡龙泉峪4号,四道相对平行的长城,在十三陵东边龙泉峪的山梁上，这里有一段约5公里的长城，东西两端都是断开的。龙泉峪长城在十三陵北20多公里的山上，位于昌平、延庆、怀柔三区县交界的地方，属于延庆县管辖，在莲花山前的山梁上。龙泉峪长城是明代内长城的主线，长城由东向西自大水峪关进入怀柔之后就没怎么太大的断过，经过著名的慕田峪、箭扣、北京结、黄花城、西水峪之后延伸进了延庆县的龙泉峪。,,景区管委会（政府）,景区
居庸关长城景区,4A,北京市昌平区境内,居庸关云台,居庸关，是京北长城沿线上的著名古关城，也是中国的城堡之一。“天下九塞”之一，“太行八陉”之八，国家级文物保护单位。,4142米,景区管委会（政府）,景区
黄楼洼,,北京市昌平区、延庆区，河北省怀来县交界处,高楼、黄花坡,黄楼洼又名高楼，因山顶有一座修缮后明长城实心烽火台而得名。该山位于长峪城东北、黄楼院村西、黄台子西南，海拔1439米，西北400米相隔一敌台有圆形敌台（圆楼），这里是1937年7-8月南口战役的主战场之一，山顶有古长城遗址，且是昌平区境内海拔最高的长城遗址，同时也是北京市昌平区最高峰。当地老乡叫“高楼”，明代称“茶芽坨”，位于“黄楼院”西4里，属长峪城下七隘口之一。,,,景区
灵山自然风景区,2A、2002年,北京市门头沟区013县道清水镇西北里,"北京第一峰灵山,烽火台",灵山自然风景区位于北京市门头沟的西北部，距北京122公里，其顶峰海拔2303米，是北京的第一高峰，北京的屋脊。北接河北的涿鹿县；西与龙门森林公园毗邻；东与龙门涧景区相连；南与109国道相通。由于海拔高度所致，使灵山在方圆25平方公里范围内形成北京地区集断层山、褶皱山奇峰峻峭、花卉无限的风光为一体的自然风景区。,沿字12—14号敌台,景区管委会（政府）,景区
山海关景区,5A、2018年,河北省秦皇岛市山海关南大街5-1,第一关，长寿山，孟姜女庙,山海关景区，是国内的一处旅游景点。山海关古称榆关，也作渝关，又名临闾关，因其北倚燕山，南连渤海，故得名山海关。山海关汇聚了中国古长城之精华，有“天下第一关”之称。与万里之外的嘉峪关遥相呼应，闻名天下。,,,景区
角山长城,,河北秦皇岛市山海关,角山长城、敌台、角山寺、瑞莲捧日,角山是万里长城从老龙头起，越山海关，向北跨越的第一座山峰，所以人们又称它为"万里长城第一山"。,,,景区
老龙头,4A、2001年,河北省秦皇岛市山海关城南5公里,入海石城、海神庙、靖卤台等,老龙头景区位于山海关城南5公里的临海高地上，自身形成半岛伸入渤海之中。这座呷角高地，海拔25米，依山襟海，长城耸峙海岸。,,,景区
黄崖关长城,4A、2001年,天津市蓟州区北28公里的崇山峻岭之中,黄崖水关，八卦城，八仙古洞,黄崖关长城在天津市蓟州区北28公里的崇山峻岭之中。历史上，蓟州城共有守营墩台十八座，黄崖关为其一，也是最为重要的关隘。始建于北齐天保七年（556年），明代名将戚继光任蓟镇总兵时，曾重新设计、包砖大修。黄崖关长城是明代蓟镇长城的重要关隘，也是境内唯一的一座关城。,,,景区
界岭口城堡,,秦皇岛市抚宁县大新寨镇箭杆岭村,,界岭口在抚宁县城北37公里处，为喜峰口东明初32关之一，后来它与古北口、黄崖关、喜峰口、冷口问为蓟镇长城重要隘口，具有“外控辽左、内护京陵”的战略地位。,,,景区
青山关景区,,河北省唐山市迁西县北部,古城堡、青山关长城、水门、监狱楼、七十二券楼,青山关位于河北省唐山市迁西县北部，距县城40公里，坐落在燕山支脉，大青山腹地，万里长城从此蜿蜒而过，加之古城堡建在山脚平台上，故名青山关,,,景区
金山岭长城,5A、2020年,河北省承德市滦平县境内,,在约20公里长的金山岭长城上，设有大小关隘5处，2座烽火台，还可观赏到67座形态各异的敌楼，有方形楼、圆形楼、扁形楼、拐角楼；有平顶的、船蓬的、穹顶的、四角钻天和八角藻井顶的。敌楼均为两层：下层有纵横六条拱道，可容六、七十人；上层有一间供士卒站岗放哨、遮风避雨的小房，一个个建造得精巧别致。还有挡马墙、障碍墙、射击孔、投雷孔、了望孔等，设施齐备，布局合理。,,,景区
九门口长城,4A、2009年,河北秦皇岛市,珍禽观光园，九门口长城，长城隧道,万里长城—九门口全长1704米，城桥长97.4米，横跨九江河，享有“水上长城”之美称。历史上著名的“一片石”大战就发生在这里，史称“京东首关”。,,,景区
